title,link,reg_number,reg_date,tr_type,date_conclusion,vol
Convention on the Rights of the Child,https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800007fe&clang=_en,I-27531,02/09/1990,Open Multilateral,20/11/1989,1577
Procès-verbal of rectification of the Chinese text of the Optional Protocol to the Convention on the Righ...,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280000839&clang=_en,A-27531,16/12/2002,Open Multilateral,16/12/2002,2201
Procès-verbal of rectification of the Chinese text of the original of the International Covena...,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280006449&clang=_en,A-14668,03/01/2002,Open Multilateral,03/01/2002,2171
Optional Protocol to the International Covenant on Civil and Political Rights,https://treaties.un.org/Pages/showDetails.aspx?objid=080000028000680a&clang=_en,A-14668,23/03/1976,Open Multilateral,16/12/1966,999
"Procès-verbal of rectification of the Convention on the Prohibition of the Use, Stockpiling, Producti...",https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280006d9b&clang=_en,A-35597,07/04/2003,Open Multilateral,07/04/2003,2213
Amendments to the European Agreement concerning the Work of Crews of Vehicles Engaged in Internation...,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280007616&clang=_en,A-14533,27/02/2004,Open Multilateral,27/11/2003,2246
Amendments to Regulation No. 46.  Uniform provisions concerning the approval of devices for indirect vision a...,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280007816&clang=_en,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 46.  Uniform provisions concerning the approval of devices for indirect vision a...,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280007834&clang=_en,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
"Amendments to Regulation No. 46.  Uniform provisions concerning the approval of rear-view mirrors, a...",https://treaties.un.org/Pages/showDetails.aspx?objid=080000028000786c&clang=_en,A-4789,23/06/2005,Open Multilateral,23/06/2005,2322
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...",https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280007891&clang=_en,A-4789,20/09/1994,Open Multilateral,20/04/1994,1823
Regulation No. 69.  Uniform provisions concerning the approval of rear marking plates for slow-moving vehicl...,https://treaties.un.org/Pages/showDetails.aspx?objid=080000028000e880&clang=_en,A-4789,15/05/1987,Open Multilateral,15/05/1987,1463
Regulation No. 68.  Uniform provisions concerning the approval of power-driven vehicles including pure electr...,https://treaties.un.org/Pages/showDetails.aspx?objid=080000028000e9b3&clang=_en,A-4789,01/05/1987,Open Multilateral,01/05/1987,1462
Regulation No. 62.  Uniform provisions concerning the approval of power-driven vehicles with handlebars with ...,https://treaties.un.org/Pages/showDetails.aspx?objid=080000028000f0f6&clang=_en,A-4789,01/09/1984,Open Multilateral,01/09/1984,1367
Regulation No. 60.  Uniform provisions concerning the approval of two-wheeled motor cycles and mopeds wi...,https://treaties.un.org/Pages/showDetails.aspx?objid=080000028000f293&clang=_en,A-4789,01/07/1984,Open Multilateral,01/07/1984,1361
Regulation No. 59.  Uniform provisions concerning the approval of replacement silencing systems,https://treaties.un.org/Pages/showDetails.aspx?objid=080000028000f63f&clang=_en,A-4789,01/10/1983,Open Multilateral,01/10/1983,1333
