href,title,reg_num,reg_date,type,con_date,vol
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280033c8f&clang=_en,"Single Convention on Narcotic Drugs, 1961",I-7515,13/12/1964,Open Multilateral,30/03/1961,520
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280136a95&clang=_en,Second International Tin Agreement.,I-5792,16/08/1961,Open Multilateral,01/09/1960,403
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028011ed26&clang=_en,Protocol to the General Treaty on Central American Economic Integration (Emergency measures to protect t...,I-10835,24/11/1970,Open Multilateral,01/06/1968,755
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280131520&clang=_en,Protocol to amend the Convention for the Unification of Certain Rules Relating to International Carria...,I-6943,30/09/1963,Open Multilateral,28/09/1955,478
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280048bb8&clang=_en,Protocol relating to the Status of Refugees,I-8791,04/10/1967,Open Multilateral,31/01/1967,606
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028012f0a1&clang=_en,Protocol relating to an amendment to the Convention on International Civil Aviation,I-7449,04/11/1964,Open Multilateral,21/06/1961,514
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801353d3&clang=_en,Protocol relating to an amendment to the Convention on International Civil Aviation,I-6021,02/01/1962,Open Multilateral,27/05/1947,418
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028011fb83&clang=_en,"Protocol on the authentic trilingual text of the Convention on International Civil Aviation (Chicago, 194...",I-10612,03/08/1970,Open Multilateral,24/09/1968,740
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028011a3b1&clang=_en,Protocol on privileges and immunities of the European Space Research Organization.  Opened for signature at Par...,I-11473,29/12/1971,Open Multilateral,31/10/1963,805
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800332e2&clang=_en,"Protocol for Limiting and Regulating the Cultivation of the Poppy Plant, the Production of, International a...",I-6555,08/03/1963,Open Multilateral,23/06/1953,456
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028011f0d8&clang=_en,"Protocol concerning the establishment of European Schools, drawn up in reference to the Statute of the Europe...",I-10793,14/10/1970,Open Multilateral,13/04/1962,752
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002c7f2&clang=_en,"Optional Protocol to the Vienna Convention on Diplomatic Relations, concerning the Compulsory Settlement ...",I-7312,24/06/1964,Open Multilateral,18/04/1961,500
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002c641&clang=_en,"Optional Protocol to the Vienna Convention on Diplomatic Relations, concerning Acquisition of Nationality",I-7311,24/06/1964,Open Multilateral,18/04/1961,500
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028003407d&clang=_en,Optional Protocol to the Vienna Convention on Consular Relations concerning the Compulsory Settlement ...,I-8640,08/06/1967,Open Multilateral,24/04/1963,596
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028003402f&clang=_en,Optional Protocol to the Vienna Convention on Consular Relations concerning Acquisition of Nationality,I-8639,08/06/1967,Open Multilateral,24/04/1963,596
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800332b0&clang=_en,Optional Protocol of Signature concerning the Compulsory Settlement of Disputes,I-6466,03/01/1963,Open Multilateral,29/04/1958,450
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280130d3b&clang=_en,North-East Atlantic Fisheries Convention,I-7078,03/02/1964,Open Multilateral,24/01/1959,486
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028011a81c&clang=_en,NATO Agreement on the communication of technical information for defence purposes.,I-11396,09/11/1971,Open Multilateral,19/10/1970,800
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280130f61&clang=_en,Multilateral Convention on the Association of Spanish Language Academies,I-7042,07/01/1964,Open Multilateral,28/07/1960,485
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801355b9&clang=_en,Multilateral Agreement relating to Certificates of Airworthiness for Imported Aircraft (with schedule).,I-6023,02/01/1962,Open Multilateral,22/04/1960,418
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028011a87d&clang=_en,"International Wheat Agreement, 1971",I-11400,09/11/1971,Open Multilateral,"29/03/1971, 03/05/1971",800
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801336f5&clang=_en,"International Wheat Agreement, 1962.  Opened for signature at Washington from 19 April 1962 until and includi...",I-6367,16/11/1962,Open Multilateral,"19/04/1962, 15/05/1962",444
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800348c3&clang=_en,"International Sugar Agreement, 1968*",I-9369,01/01/1969,Open Multilateral,"03/12/1968, 24/12/1968",654
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028013832b&clang=_en,International Sugar Agreement of 1958 (with Declaration of Amendment).,I-5534,16/01/1961,Open Multilateral,01/12/1958,385
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280130461&clang=_en,"International Olive Oil Agreement, 1963.  Adopted at the United Nations Conference on Olive Oil at Geneva, ...",I-7239,05/05/1964,Open Multilateral,20/04/1963,495
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028011cffc&clang=_en,International Health Regulations,I-10921,20/01/1971,Open Multilateral,25/07/1969,764
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280121059&clang=_en,International Grains Arrangement 1967:                     (a).  Wheat Trade Convention (with annexes).  Open for ...,I-10455,01/05/1970,Open Multilateral,15/10/1967,727
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801338ba&clang=_en,International Convention relating to the arrest of seagoing ships.,I-6330,02/10/1962,Open Multilateral,10/05/1952,439
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280121476&clang=_en,International Convention on the standardization of methods of wine analysis and evaluation (with annexes).,I-10416,07/04/1970,Open Multilateral,13/10/1954,724
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280008954&clang=_en,International Convention on the Elimination of All Forms of Racial Discrimination,I-9464,12/03/1969,Open Multilateral,07/03/1966,660
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280126bbe&clang=_en,"International Convention on Load Lines, 1966",I-9159,30/07/1968,Open Multilateral,05/04/1966,640
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801338d5&clang=_en,International Convention on certain rules concerning civil jurisdiction in matters of collision.,I-6331,02/10/1962,Open Multilateral,10/05/1952,439
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801338c3&clang=_en,International Convention for the unitification of certain rules relating to penal jurisdiction in matters of collision...,I-6332,02/10/1962,Open Multilateral,10/05/1952,439
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028012d6c1&clang=_en,"International Convention for the Safety of Life at Sea, 1960 (with annexed Regulations)",I-7794,02/06/1965,Open Multilateral,17/06/1960,536
