href,title,reg_num,reg_date,type,con_date,vol
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002c211&clang=_en,Convention on the Privileges and Immunities of the United Nations,I-4,14/12/1946,Open Multilateral,13/02/1946,1
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002d609&clang=_en,"Protocol amending the Agreements, Conventions and Protocols on Narcotic Drugs, concluded at The Hag...",I-186,03/02/1948,Open Multilateral,11/12/1946,12
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002d899&clang=_en,Constitution of the World Health Organization,I-221,07/04/1948,Open Multilateral,22/07/1946,14
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002ef68&clang=_en,"Protocol amending the International Convention relating to Economic Statistics, signed at Geneva on 14 Decemb...",I-318,09/12/1948,Open Multilateral,09/12/1948,20
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280045fc9&clang=_en,Protocol concerning the Office international d'hygiène publique,I-125,20/10/1947,Open Multilateral,22/07/1946,9
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028004841b&clang=_en,Constitution of the International Refugee Organization*,I-283,20/08/1948,Open Multilateral,15/12/1946,18
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028004851a&clang=_en,Agreement on most-favoured-nation treatment for areas of Western Germany under military occupation*,I-296,14/10/1948,Open Multilateral,14/09/1948,18
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028004c592&clang=_en,International Opium Convention,LoN-1845,03/01/1948,Open Multilateral,"19/02/1925, 11/12/1946",81
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280163387&clang=_en,Inter-American Treaty of Reciprocal Assistance and Final Act of the Inter-American Conference for the ...,I-324,20/12/1948,Open Multilateral,02/09/1947,21
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280163805&clang=_en,"International Sanitary Convention, 1944, modifying the International Sanitary Convention of 21 Ju...",II-110,26/07/1948,Open Multilateral,15/12/1944,17
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280165c4f&clang=_en,Instrument for the Amendment of the Constitution of the International Labour Organisation,I-18,25/04/1947,Open Multilateral,07/11/1945,2
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280163c31&clang=_en,Instrument for the Amendment of the Constitution adopted by the International Labour Conference at its ...,I-229,21/05/1948,Open Multilateral,09/10/1946,15
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280164797&clang=_en,Final Act of the Intergovernmental Conference on the adoption of a travel document for Refuge...,I-150,26/11/1947,Open Multilateral,15/10/1946,11
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002c211&clang=_en,Convention on the Privileges and Immunities of the United Nations,I-4,14/12/1946,Open Multilateral,13/02/1946,1
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280163d69&clang=_en,Convention on International Civil Aviation,II-102,19/04/1948,Open Multilateral,07/12/1944,15
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028002d899&clang=_en,Constitution of the World Health Organization,I-221,07/04/1948,Open Multilateral,22/07/1946,14
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801651f0&clang=_en,"Constitution of the United Nations Educational, Scientific and Cultural Organization",I-52,12/06/1947,Open Multilateral,16/11/1945,4
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028004841b&clang=_en,Constitution of the International Refugee Organization*,I-283,20/08/1948,Open Multilateral,15/12/1946,18
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028004851a&clang=_en,Agreement on most-favoured-nation treatment for areas of Western Germany under military occupation*,I-296,14/10/1948,Open Multilateral,14/09/1948,18
https://treaties.un.org/Pages/showDetails.aspx?objid=080000028016405f&clang=_en,Agreement for the maintenance or restoration of industrial property rights affected by t...,I-222,16/04/1948,Open Multilateral,08/02/1947,14
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280165085&clang=_en,Agreement for the establishment of the European Coal Organisation,I-66,30/07/1947,Open Multilateral,04/01/1946,6
https://treaties.un.org/Pages/showDetails.aspx?objid=08000002801649b4&clang=_en,"Agreement for the Establishment of a Provisional Maritime Consultative Council, adopted by the Unit...",I-151,26/11/1947,Open Multilateral,30/10/1946,11
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280165137&clang=_en,Agreement concerning the Establishment of an European Central Inland Transport Organisation,II-35,23/06/1947,Open Multilateral,27/09/1945,5
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280165d37&clang=_en,(b) Articles of Agreement of the International Bank for Reconstruction and Development,I-20,25/04/1947,Open Multilateral,27/12/1945,2
https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280165965&clang=_en,(a) Articles of Agreement of the International Monetary Fund,I-20,25/04/1947,Open Multilateral,27/12/1945,2
